job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings,total_skills,experience_category
19,AI Engineer,Startup,E-commerce,UK,Onsite,Entry,2,Bachelor,0,1,1,0,1,116197,8,2020,High,8,3,Entry
20,AI Engineer,Enterprise,Finance,Germany,Hybrid,Mid,13,PhD,0,0,0,0,1,122869,3,2024,Medium,2,1,Senior
21,Data Scientist,MNC,Finance,Germany,Remote,Mid,3,Bachelor,1,1,1,0,0,109735,1,2023,Low,1,3,Entry
22,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,5,Master,1,0,0,1,1,99893,1,2023,Low,2,3,Mid
23,Data Scientist,Startup,Technology,Canada,Onsite,Senior,0,Bachelor,1,1,1,0,1,121060,8,2024,Low,5,4,Entry
24,Data Scientist,Medium,E-commerce,Singapore,Onsite,Entry,12,PhD,0,1,0,0,1,63319,2,2020,Medium,3,2,Senior
25,Machine Learning Engineer,Enterprise,Education,India,Onsite,Mid,14,Master,1,0,1,0,0,125784,8,2020,Medium,2,2,Senior
26,Data Scientist,Enterprise,Education,Singapore,Remote,Mid,9,PhD,0,1,0,1,0,92992,4,2024,High,7,2,Senior
27,AI Engineer,Startup,Education,Australia,Onsite,Senior,11,PhD,1,1,1,0,0,154146,9,2021,Medium,6,3,Senior
28,Data Engineer,Startup,Education,India,Hybrid,Mid,3,Bachelor,1,1,0,1,0,88124,12,2023,Low,5,3,Entry
29,AI Engineer,Startup,Technology,Australia,Remote,Mid,2,PhD,0,1,1,1,0,140635,10,2025,High,2,3,Entry
30,Data Analyst,Startup,Retail,Germany,Hybrid,Senior,4,Master,1,0,1,0,0,111931,5,2020,High,9,2,Mid
31,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,8,Master,1,0,0,0,1,129662,5,2025,High,7,2,Senior
32,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5,Bachelor,0,0,1,1,0,127141,4,2024,High,1,2,Mid
33,AI Engineer,MNC,Healthcare,India,Remote,Senior,13,Bachelor,1,0,0,1,1,182849,4,2026,Medium,6,3,Senior
34,Machine Learning Engineer,Medium,Retail,India,Remote,Entry,3,Bachelor,1,1,1,0,1,119087,11,2023,Low,1,4,Entry
35,AI Engineer,Medium,Retail,Germany,Remote,Entry,2,Bachelor,0,0,1,0,0,103913,11,2023,Low,1,1,Entry
36,Business Analyst,Startup,Technology,Singapore,Hybrid,Mid,2,Bachelor,1,0,0,0,1,86748,10,2021,High,8,2,Entry
37,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4,Master,1,0,0,0,1,145728,5,2024,Low,4,2,Mid
38,Data Scientist,MNC,Healthcare,Canada,Remote,Senior,2,Bachelor,1,1,1,0,0,136806,5,2023,High,8,3,Entry
39,Data Scientist,Enterprise,E-commerce,Singapore,Remote,Senior,13,Bachelor,0,0,1,1,1,136365,11,2022,High,9,3,Senior
40,Data Scientist,MNC,Technology,Canada,Remote,Senior,6,Bachelor,1,1,0,1,1,145486,5,2024,Low,3,4,Mid
41,Data Analyst,MNC,Finance,Germany,Onsite,Entry,6,Bachelor,1,0,0,0,0,71541,10,2024,High,7,1,Mid
42,Data Analyst,Enterprise,E-commerce,UK,Onsite,Mid,11,PhD,0,1,1,1,0,101542,8,2021,High,6,3,Senior
43,Data Scientist,Medium,Retail,India,Hybrid,Entry,4,Bachelor,1,0,1,1,0,76365,4,2020,High,1,3,Mid
44,Data Scientist,Startup,Technology,Germany,Hybrid,Senior,12,PhD,1,1,0,0,1,109268,2,2023,Medium,3,3,Senior
45,Data Engineer,Medium,Technology,Germany,Remote,Senior,6,Bachelor,0,0,0,1,1,121214,12,2020,High,9,2,Mid
46,Data Scientist,MNC,Finance,Australia,Remote,Mid,11,Master,0,1,0,0,0,94175,6,2024,Medium,5,1,Senior
47,Data Analyst,MNC,E-commerce,Germany,Onsite,Senior,1,Bachelor,0,0,0,1,0,139588,6,2025,Low,1,1,Entry
48,Data Analyst,MNC,Finance,UK,Hybrid,Mid,7,Bachelor,1,1,1,1,1,130539,12,2024,High,2,5,Mid
49,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0,Bachelor,0,1,0,1,1,93324,6,2021,Low,3,3,Entry
50,Data Analyst,MNC,E-commerce,Singapore,Remote,Mid,7,Master,1,1,0,0,0,91015,1,2025,High,7,2,Mid
51,Data Scientist,Medium,Finance,UK,Remote,Mid,8,PhD,1,0,0,0,0,71633,9,2022,Medium,1,1,Senior
52,Data Scientist,Startup,Education,Germany,Remote,Entry,4,PhD,1,0,0,0,0,49809,10,2022,Low,5,1,Mid
53,Data Scientist,Startup,Education,USA,Hybrid,Entry,12,PhD,0,1,1,0,0,63419,8,2026,High,8,2,Senior
54,Machine Learning Engineer,Medium,Healthcare,Australia,Hybrid,Senior,1,PhD,1,0,1,1,0,171544,7,2026,High,9,3,Entry
55,Business Analyst,Startup,Education,India,Onsite,Senior,5,PhD,1,1,1,1,1,143017,11,2022,High,2,5,Mid
56,Machine Learning Engineer,MNC,Finance,Australia,Remote,Senior,6,Master,1,0,0,0,0,155137,8,2020,Low,4,1,Mid
57,Machine Learning Engineer,Startup,Technology,Germany,Remote,Mid,4,Master,1,0,1,0,0,131254,9,2026,Low,3,2,Mid
58,Data Analyst,Medium,Technology,Germany,Remote,Senior,10,PhD,0,1,1,0,1,127570,5,2024,Medium,3,3,Senior
59,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Entry,0,Master,0,0,1,1,1,154945,11,2020,High,2,3,Entry
60,Machine Learning Engineer,Startup,Finance,Australia,Onsite,Mid,14,PhD,1,0,0,1,1,136276,4,2026,Medium,1,3,Senior
61,Data Engineer,Medium,Healthcare,Germany,Onsite,Mid,12,Master,1,1,0,1,0,90122,7,2025,High,7,3,Senior
62,Data Analyst,Enterprise,Technology,Canada,Hybrid,Mid,2,Master,0,0,1,0,0,93905,7,2020,Low,5,1,Entry
63,Data Scientist,Enterprise,Education,India,Hybrid,Entry,12,Bachelor,1,0,1,1,0,84361,4,2026,High,9,3,Senior
64,Data Engineer,Medium,Finance,Germany,Onsite,Mid,4,Bachelor,1,1,1,1,1,110876,6,2024,High,8,5,Mid
65,Data Scientist,Startup,E-commerce,Australia,Remote,Mid,6,Master,1,1,1,0,1,104352,7,2022,High,8,4,Mid
66,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Mid,3,Master,1,0,1,0,1,97551,6,2022,Low,6,3,Entry
67,Data Engineer,Startup,Healthcare,Singapore,Onsite,Mid,12,PhD,1,0,1,1,1,118915,1,2023,High,4,4,Senior
68,Data Scientist,MNC,Finance,India,Hybrid,Mid,13,Bachelor,0,0,1,0,0,108744,6,2021,Medium,3,1,Senior
69,Machine Learning Engineer,Startup,Healthcare,Germany,Hybrid,Entry,3,Master,0,0,0,0,0,86994,8,2025,High,9,0,Entry
70,Data Analyst,Medium,Finance,Canada,Hybrid,Mid,4,Master,1,0,0,1,1,104762,1,2025,Low,3,3,Mid
71,AI Engineer,MNC,E-commerce,UK,Remote,Entry,11,Master,1,0,0,0,0,112546,10,2025,Medium,3,1,Senior
72,AI Engineer,Startup,E-commerce,India,Remote,Mid,7,PhD,1,1,0,0,1,125142,1,2020,Low,1,3,Mid
73,Data Scientist,Startup,Healthcare,Australia,Remote,Senior,2,PhD,1,1,0,0,0,100567,4,2026,High,8,2,Entry
74,Business Analyst,Startup,Technology,Australia,Onsite,Senior,5,Bachelor,0,0,0,0,0,97336,4,2025,High,7,0,Mid
75,Machine Learning Engineer,Medium,E-commerce,UK,Hybrid,Entry,5,Master,0,0,0,1,0,107863,8,2024,High,8,1,Mid
76,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,14,PhD,0,0,1,1,1,115779,11,2025,High,5,3,Senior
77,Machine Learning Engineer,MNC,Education,Australia,Onsite,Senior,13,Master,0,1,1,0,1,180984,1,2026,Medium,2,3,Senior
78,AI Engineer,Enterprise,Technology,Germany,Remote,Entry,9,PhD,0,1,0,1,0,104146,8,2020,Medium,6,2,Senior
79,Data Engineer,Enterprise,Finance,Australia,Remote,Entry,13,Master,1,1,0,0,0,49662,3,2026,Medium,6,2,Senior
80,Business Analyst,Enterprise,Finance,Canada,Remote,Mid,4,Bachelor,1,0,0,0,1,81625,11,2025,High,9,2,Mid
81,Machine Learning Engineer,Enterprise,Healthcare,UK,Hybrid,Senior,10,Bachelor,0,1,0,0,1,146990,4,2025,High,8,2,Senior
82,Business Analyst,MNC,Finance,USA,Remote,Senior,5,PhD,1,1,1,0,0,134944,4,2020,High,7,3,Mid
83,Data Scientist,MNC,Education,Australia,Onsite,Entry,6,Bachelor,0,1,0,1,0,88058,8,2022,Low,3,2,Mid
84,Data Engineer,MNC,Education,Canada,Remote,Entry,13,Bachelor,1,1,0,1,0,86645,12,2020,Medium,3,3,Senior
85,Machine Learning Engineer,Medium,Education,UK,Onsite,Entry,6,Bachelor,0,0,1,1,1,131305,12,2020,High,3,3,Mid
86,AI Engineer,MNC,Healthcare,Singapore,Remote,Entry,6,Bachelor,0,1,0,0,0,112221,9,2026,High,8,1,Mid
87,Business Analyst,Enterprise,Retail,USA,Onsite,Mid,7,PhD,1,1,1,1,0,105619,5,2025,High,4,4,Mid
88,Business Analyst,Medium,Healthcare,Singapore,Hybrid,Senior,6,Bachelor,0,0,1,0,0,111308,12,2021,Low,4,1,Mid
89,Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,Mid,1,PhD,0,0,0,1,1,135804,6,2025,Low,5,2,Entry
90,Data Scientist,Medium,E-commerce,Germany,Onsite,Mid,11,Master,1,0,1,1,1,114223,1,2021,High,7,4,Senior
91,Data Analyst,Startup,Education,USA,Hybrid,Entry,6,Bachelor,0,1,1,0,1,76809,10,2024,Low,4,3,Mid
92,Business Analyst,Medium,E-commerce,UK,Hybrid,Mid,9,Bachelor,1,0,1,1,0,107141,10,2023,High,5,3,Senior
93,Business Analyst,Medium,Education,Canada,Onsite,Entry,5,PhD,0,1,1,1,0,83646,10,2024,High,9,3,Mid
94,Data Scientist,Medium,E-commerce,Germany,Hybrid,Mid,1,Master,1,1,0,0,0,75490,10,2024,Low,5,2,Entry
95,Business Analyst,Enterprise,Retail,Germany,Remote,Senior,7,PhD,0,1,1,0,0,114853,6,2024,High,8,2,Mid
96,Data Scientist,Medium,Technology,Singapore,Onsite,Senior,0,PhD,1,0,0,0,1,105153,2,2024,High,9,2,Entry
97,Data Scientist,Startup,Finance,USA,Remote,Entry,7,PhD,1,0,0,0,0,46252,12,2023,Low,2,1,Mid
98,Data Analyst,Medium,Education,India,Onsite,Entry,10,PhD,0,0,0,1,0,67982,12,2025,High,7,1,Senior
99,Data Analyst,MNC,E-commerce,USA,Onsite,Entry,5,Master,1,0,1,0,1,98044,10,2026,High,9,3,Mid
100,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Entry,9,Master,0,1,0,0,0,113007,2,2022,High,9,1,Senior
101,Business Analyst,Medium,Education,Germany,Onsite,Senior,10,Master,1,0,0,1,0,117138,12,2023,High,8,2,Senior
102,Business Analyst,Medium,Retail,Canada,Onsite,Mid,6,PhD,1,0,0,1,0,90468,6,2020,Low,4,2,Mid
103,Business Analyst,Medium,Finance,Canada,Hybrid,Mid,6,Master,0,1,1,1,0,109996,2,2022,High,7,3,Mid
104,Data Analyst,Enterprise,Education,Germany,Remote,Mid,12,Bachelor,1,0,1,0,1,96771,9,2021,High,8,3,Senior
105,Data Engineer,Startup,Technology,Canada,Remote,Mid,2,Bachelor,0,1,1,1,1,110145,5,2020,High,4,4,Entry
106,Data Scientist,Startup,Education,Singapore,Remote,Senior,8,Bachelor,1,1,1,0,1,129130,12,2025,Medium,5,4,Senior
107,Data Engineer,MNC,Retail,Australia,Remote,Mid,6,Bachelor,1,1,0,1,1,124076,3,2024,Low,6,4,Mid
108,Data Engineer,Medium,Retail,India,Remote,Mid,0,Bachelor,1,0,1,1,0,108245,7,2020,High,5,3,Entry
109,Data Scientist,Enterprise,Technology,India,Remote,Entry,9,PhD,0,1,1,1,0,83194,3,2025,High,8,3,Senior
110,Business Analyst,MNC,E-commerce,Singapore,Remote,Entry,4,Master,1,0,0,1,0,81218,9,2021,High,9,2,Mid
111,AI Engineer,Medium,Finance,Singapore,Remote,Entry,10,PhD,1,1,1,0,1,115370,5,2021,High,8,4,Senior
112,Machine Learning Engineer,Medium,E-commerce,Germany,Remote,Entry,0,Bachelor,1,1,0,1,1,112745,3,2021,Low,3,4,Entry
113,Data Analyst,Startup,E-commerce,USA,Hybrid,Senior,10,Bachelor,0,1,0,0,0,104908,10,2023,High,9,1,Senior
114,Data Analyst,Medium,Technology,Singapore,Remote,Senior,9,Bachelor,0,0,0,0,1,108741,7,2026,Medium,5,1,Senior
115,Machine Learning Engineer,MNC,Healthcare,Australia,Remote,Entry,1,PhD,1,0,1,0,0,122064,8,2026,High,9,2,Entry
116,Machine Learning Engineer,MNC,E-commerce,UK,Hybrid,Senior,6,Master,1,0,1,1,0,190084,6,2023,High,5,3,Mid
117,AI Engineer,MNC,Technology,India,Onsite,Entry,0,Master,1,1,0,1,1,136353,2,2025,High,8,4,Entry
118,Business Analyst,MNC,Technology,UK,Onsite,Entry,12,PhD,0,0,1,0,0,89645,2,2024,Medium,3,1,Senior
119,AI Engineer,Startup,Retail,Canada,Remote,Senior,6,PhD,0,0,0,1,1,163155,6,2022,Low,2,2,Mid
120,Data Analyst,Enterprise,Finance,Australia,Remote,Entry,4,PhD,0,1,1,0,0,65626,1,2021,Low,5,2,Mid
121,AI Engineer,Medium,Healthcare,Canada,Onsite,Entry,7,Bachelor,1,1,0,1,1,115179,9,2020,High,8,4,Mid
122,Business Analyst,Startup,Retail,Australia,Hybrid,Senior,12,PhD,1,1,0,1,1,127725,9,2025,Medium,3,4,Senior
123,Data Engineer,Enterprise,Finance,Australia,Remote,Mid,11,Bachelor,0,1,1,0,0,90463,8,2022,Medium,2,2,Senior
124,Business Analyst,Startup,E-commerce,India,Hybrid,Mid,14,Master,0,1,1,0,0,87043,6,2020,High,9,2,Senior
125,Data Analyst,Medium,Retail,USA,Remote,Entry,14,Master,1,1,1,1,1,93905,8,2021,High,1,5,Senior
126,AI Engineer,Startup,Healthcare,USA,Remote,Entry,13,Bachelor,0,0,1,1,1,132014,10,2025,High,7,3,Senior
127,Machine Learning Engineer,Medium,Healthcare,India,Onsite,Entry,12,PhD,0,0,1,0,1,119631,9,2021,High,9,2,Senior
128,AI Engineer,MNC,Healthcare,Germany,Hybrid,Mid,10,PhD,0,0,0,1,1,155021,10,2026,Medium,4,2,Senior
129,Data Analyst,Enterprise,Finance,Germany,Hybrid,Mid,1,PhD,1,1,0,1,0,86266,10,2022,High,9,3,Entry
130,Data Engineer,MNC,E-commerce,Canada,Onsite,Entry,2,PhD,1,1,1,1,0,99644,8,2020,High,6,4,Entry
131,Data Analyst,Enterprise,Technology,India,Onsite,Senior,12,Bachelor,1,0,0,0,0,102005,5,2026,Medium,1,1,Senior
132,Machine Learning Engineer,Startup,Technology,Canada,Hybrid,Mid,2,Bachelor,1,0,1,1,0,145631,4,2021,High,2,3,Entry
133,Machine Learning Engineer,MNC,Education,Singapore,Hybrid,Senior,9,PhD,1,0,1,0,0,172958,1,2022,Medium,2,2,Senior
134,Machine Learning Engineer,MNC,Technology,Australia,Onsite,Mid,13,Master,1,0,0,0,1,142365,6,2023,High,9,2,Senior
135,Business Analyst,Enterprise,Education,Singapore,Remote,Mid,5,PhD,0,0,0,0,1,89444,5,2026,Low,2,1,Mid
136,Data Scientist,MNC,Technology,Germany,Remote,Senior,14,PhD,0,1,0,1,1,149472,5,2023,High,9,3,Senior
137,Data Analyst,MNC,Finance,USA,Hybrid,Entry,4,PhD,0,0,1,0,0,89847,12,2023,Low,1,1,Mid
138,Data Engineer,MNC,Retail,Canada,Hybrid,Mid,8,Master,0,0,1,1,0,126262,3,2025,High,1,2,Senior
139,Business Analyst,Startup,Retail,Canada,Remote,Entry,13,PhD,1,1,1,0,1,75370,11,2025,High,8,4,Senior
140,Machine Learning Engineer,Startup,Healthcare,Canada,Remote,Senior,7,PhD,0,0,1,0,1,166294,4,2021,Low,6,2,Mid
141,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Senior,5,Bachelor,0,0,1,0,1,185238,10,2022,Low,1,2,Mid
142,Machine Learning Engineer,Medium,Healthcare,India,Remote,Mid,7,PhD,0,1,0,1,0,128072,3,2026,Low,4,2,Mid
143,Data Engineer,Startup,E-commerce,USA,Hybrid,Mid,1,Master,1,1,0,0,0,75208,9,2024,High,9,2,Entry
144,Business Analyst,Enterprise,Finance,UK,Hybrid,Entry,13,Master,1,1,0,1,1,71000,7,2022,Medium,2,4,Senior
145,Business Analyst,Enterprise,Finance,Australia,Hybrid,Senior,4,Bachelor,0,0,1,1,0,127875,9,2020,High,5,2,Mid
146,Data Scientist,MNC,Finance,UK,Hybrid,Mid,2,PhD,1,1,1,1,1,139218,5,2021,High,9,5,Entry
147,Machine Learning Engineer,Medium,Technology,Canada,Remote,Mid,11,Bachelor,0,1,1,0,0,133234,7,2025,Medium,4,2,Senior
148,Data Engineer,Medium,Technology,UK,Onsite,Entry,6,Bachelor,0,0,1,0,0,68906,3,2026,High,9,1,Mid
149,AI Engineer,Startup,E-commerce,Australia,Onsite,Mid,12,Master,1,1,0,1,1,142311,10,2023,Medium,3,4,Senior
150,Data Engineer,Medium,Healthcare,USA,Remote,Mid,13,Bachelor,0,0,0,1,1,102052,7,2026,High,7,2,Senior
151,Data Scientist,Medium,E-commerce,India,Hybrid,Senior,0,Master,1,1,0,1,0,117285,5,2025,High,7,3,Entry
152,AI Engineer,Startup,Healthcare,USA,Onsite,Mid,8,Master,0,1,1,1,1,153225,11,2024,High,1,4,Senior
153,AI Engineer,Medium,Retail,Germany,Onsite,Mid,1,Bachelor,0,1,1,0,0,134776,3,2023,Low,2,2,Entry
154,Machine Learning Engineer,Startup,E-commerce,USA,Hybrid,Entry,2,PhD,1,0,1,0,1,111100,9,2025,High,9,3,Entry
155,Data Scientist,Medium,Retail,Singapore,Remote,Mid,9,PhD,1,0,0,0,0,72349,3,2023,High,7,1,Senior
156,Machine Learning Engineer,Medium,Healthcare,Singapore,Remote,Mid,0,Bachelor,1,0,0,1,0,127472,7,2023,Low,6,2,Entry
157,Business Analyst,Startup,Technology,India,Remote,Senior,7,Bachelor,1,1,1,0,1,128533,6,2021,Low,3,4,Mid
158,AI Engineer,Medium,Education,USA,Onsite,Mid,13,PhD,1,1,1,1,1,153374,9,2026,High,4,5,Senior
159,Machine Learning Engineer,Medium,Education,USA,Onsite,Entry,13,PhD,0,0,1,0,1,119732,4,2023,Medium,6,2,Senior
160,Data Scientist,Startup,Education,Canada,Hybrid,Mid,7,Master,0,1,0,0,1,89715,2,2024,Low,6,2,Mid
161,Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,8,Master,0,1,0,0,0,70962,3,2023,Medium,1,1,Senior
162,Data Engineer,Enterprise,Healthcare,Germany,Hybrid,Senior,2,Master,1,0,0,1,1,128435,10,2023,Low,5,3,Entry
163,Data Scientist,Medium,Education,India,Remote,Senior,7,Master,1,1,1,1,0,132693,9,2026,High,7,4,Mid
164,Business Analyst,Enterprise,Healthcare,UK,Hybrid,Senior,13,Master,1,1,1,1,0,133984,6,2020,High,2,4,Senior
165,AI Engineer,Enterprise,Education,USA,Hybrid,Mid,12,Master,1,0,0,0,1,125772,5,2021,High,9,2,Senior
166,Business Analyst,Medium,Technology,USA,Onsite,Entry,14,Bachelor,1,1,1,0,1,72719,11,2025,Medium,6,4,Senior
167,Machine Learning Engineer,MNC,Retail,Singapore,Onsite,Entry,1,PhD,1,0,1,1,0,140175,9,2026,High,2,3,Entry
168,Data Analyst,Startup,Retail,Canada,Remote,Mid,2,Master,0,1,1,1,0,101638,8,2020,High,4,3,Entry
169,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,1,PhD,0,0,1,0,1,96549,7,2024,Low,3,2,Entry
170,Business Analyst,Medium,E-commerce,Australia,Onsite,Mid,10,Master,0,1,1,0,0,92993,8,2026,High,7,2,Senior
171,Business Analyst,Startup,E-commerce,Canada,Hybrid,Mid,4,Bachelor,0,1,0,0,1,88656,3,2020,Low,4,2,Mid
172,AI Engineer,Enterprise,E-commerce,Germany,Onsite,Entry,13,Master,1,1,1,1,1,129839,3,2020,High,2,5,Senior
173,Business Analyst,MNC,E-commerce,Australia,Hybrid,Entry,12,Master,0,0,1,0,1,98616,1,2021,High,9,2,Senior
174,AI Engineer,MNC,E-commerce,USA,Hybrid,Mid,11,Master,1,0,1,0,0,145775,11,2025,Medium,2,2,Senior
175,Data Scientist,Enterprise,Finance,Germany,Onsite,Entry,4,PhD,1,1,0,0,0,49940,8,2020,High,8,2,Mid
176,Data Analyst,Startup,E-commerce,UK,Onsite,Entry,3,Bachelor,0,1,1,0,1,79866,4,2026,Low,4,3,Entry
177,Data Analyst,Enterprise,Retail,Germany,Onsite,Senior,4,Master,0,1,1,1,1,141511,12,2020,High,6,4,Mid
178,Data Scientist,Startup,Healthcare,Singapore,Hybrid,Senior,3,Bachelor,1,1,1,0,0,118569,7,2025,High,9,3,Entry
179,Machine Learning Engineer,Medium,E-commerce,Germany,Onsite,Mid,12,Master,0,1,0,1,1,143714,10,2026,Medium,2,3,Senior
180,Data Scientist,MNC,Healthcare,Singapore,Remote,Entry,13,PhD,1,1,0,1,1,92461,4,2024,Medium,4,4,Senior
181,AI Engineer,MNC,Retail,Australia,Remote,Entry,9,PhD,1,1,0,0,0,112697,5,2024,High,9,2,Senior
182,Data Engineer,Startup,Education,Australia,Hybrid,Senior,11,PhD,1,0,1,1,1,142003,2,2021,High,9,4,Senior
183,Business Analyst,Startup,Technology,UK,Hybrid,Senior,2,PhD,0,1,1,0,1,121724,1,2022,Low,5,3,Entry
184,Data Engineer,Enterprise,E-commerce,Australia,Onsite,Senior,4,Bachelor,0,1,1,1,1,141272,12,2024,High,8,4,Mid
185,Data Analyst,Startup,Technology,UK,Hybrid,Mid,8,PhD,1,0,1,1,0,102159,9,2023,High,2,3,Senior
186,AI Engineer,Medium,Healthcare,India,Hybrid,Mid,13,Bachelor,1,0,1,0,0,127634,3,2026,Medium,4,2,Senior
187,Data Engineer,MNC,Retail,Canada,Hybrid,Senior,3,Bachelor,1,1,1,1,0,152909,5,2025,High,5,4,Entry
188,Business Analyst,Medium,Education,Australia,Remote,Entry,6,Bachelor,0,1,0,1,0,64431,10,2026,High,8,2,Mid
189,AI Engineer,MNC,Education,India,Hybrid,Mid,14,PhD,1,1,0,0,0,130663,12,2025,Medium,3,2,Senior
190,Machine Learning Engineer,Medium,E-commerce,Singapore,Onsite,Entry,6,Master,0,0,0,1,0,101136,11,2023,Low,4,1,Mid
191,Data Analyst,Enterprise,Retail,USA,Hybrid,Entry,0,Bachelor,1,1,1,1,0,77125,12,2022,High,6,4,Entry
192,Data Scientist,Medium,E-commerce,USA,Remote,Mid,2,Master,0,0,0,1,1,97757,1,2022,Low,6,2,Entry
193,Business Analyst,Enterprise,E-commerce,UK,Hybrid,Senior,9,Master,0,0,0,1,0,112096,5,2021,Medium,4,1,Senior
194,Business Analyst,MNC,Education,India,Hybrid,Senior,1,PhD,0,0,1,0,1,140685,12,2023,Low,6,2,Entry
195,AI Engineer,Startup,Technology,USA,Remote,Mid,13,Master,1,1,0,0,0,110905,6,2026,High,8,2,Senior
196,Machine Learning Engineer,Startup,E-commerce,Australia,Remote,Entry,3,PhD,1,1,0,0,0,85689,1,2022,Low,4,2,Entry
197,Data Engineer,Enterprise,Healthcare,UK,Onsite,Senior,9,Bachelor,1,1,1,1,1,139260,10,2024,High,9,5,Senior
198,Machine Learning Engineer,Startup,Retail,Singapore,Hybrid,Entry,2,Bachelor,0,0,0,1,1,116588,9,2020,High,9,2,Entry
199,Machine Learning Engineer,Startup,Technology,Singapore,Hybrid,Entry,5,PhD,0,0,0,1,0,106171,10,2022,Low,2,1,Mid
200,Data Scientist,Enterprise,Education,USA,Remote,Mid,13,Master,1,1,0,1,0,86537,6,2020,Medium,5,3,Senior
201,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,11,Master,1,0,1,1,1,176727,3,2026,High,3,4,Senior
202,Data Scientist,MNC,E-commerce,Germany,Hybrid,Senior,3,Master,1,0,1,1,0,145781,11,2024,High,6,3,Entry
203,Data Scientist,MNC,Healthcare,Germany,Hybrid,Entry,1,PhD,0,1,1,0,1,91577,4,2022,Low,1,3,Entry
204,Data Engineer,Enterprise,Technology,Singapore,Remote,Senior,10,Master,0,0,0,0,1,113087,12,2023,High,8,1,Senior
205,Data Scientist,MNC,E-commerce,Canada,Onsite,Entry,14,PhD,1,1,1,1,1,108525,12,2021,High,4,5,Senior
206,Data Analyst,Startup,Retail,UK,Hybrid,Senior,0,Master,1,0,0,1,1,120687,11,2024,Low,5,3,Entry
207,AI Engineer,Medium,Education,Australia,Hybrid,Senior,11,Bachelor,0,1,0,1,0,155108,5,2025,High,7,2,Senior
